院校,学考A,学考B,学考C,学考D,学考满分,校测满分,高考满分,学考权重,校测权重,高考权重,口径,折算备注,来源年份,来源标题,来源链接
浙江工业大学,15,10,6,1,150,100,750,0.15,0.25,0.6,标准,2026 年章程仅列学考A/B折算对照表，C/D分值待核实；当前折算为原库数据，需以章程为准,2026,浙江工业大学2026年“三位一体”综合评价招生章程,https://zs.zjut.edu.cn/html/n2546.html
浙江师范大学,10,8,6,2,100,100,750,0.15,0.25,0.6,标准,学考按满分100分折算，且D计2分（非标准150分且D=0）。,2026,浙江师范大学2026年“三位一体”综合评价招生章程,https://zs.zjnu.edu.cn/2026/0306/c6886a547727/page.htm
宁波大学,10,8,4,0,100,100,750,0.15,0.25,0.6,标准,学考按满分100分折算（非标准150分）。,2026,2026年宁波大学“三位一体”综合评价招生章程,https://zsb.nbu.edu.cn/info/1016/3796.htm
杭州电子科技大学,15,10,5,0,150,100,750,0.15,0.25,0.6,标准,,2026,杭州电子科技大学2026年“三位一体”综合评价招生章程,https://zhaosheng.hdu.edu.cn/art.php?aid=2427
浙江工商大学,10,8,4,0,100,100,750,0.2,0.2,0.6,标准,综合成绩按学考20%+校测20%+高考60%计算，学考满分100（非标准15/25/60、非标准150分）。,2026,浙江工商大学2026年“三位一体”综合评价招生章程,https://zhaoban.zjgsu.edu.cn/?news/266.html
浙江理工大学,10,8,4,0,100,100,750,0.2,0.2,0.6,标准,综合成绩按学考20%+校测20%+高考60%计算，学考满分100（非标准15/25/60、非标准150分）。,2026,浙江理工大学2026年“三位一体”综合评价招生章程,https://zs.zstu.edu.cn//info/1033/4033.htm
温州医科大学,10,9,7,4,100,100,750,0.2,0.2,0.6,标准,综合成绩按学考20%+校测20%+高考60%计算（非标准15/25/60），学考满分100。,2026,温州医科大学2026年“三位一体”综合评价招生章程,https://zhaosheng.wmu.edu.cn/info/1172/17152.htm
浙江海洋大学,15,10,6,1,150,100,750,0.15,0.25,0.6,标准,学考折算D计1分（非标准D=0）。,2026,浙江海洋大学2026年“三位一体”综合评价招生章程,https://zs.zjou.edu.cn/info/1050/6890.htm
浙江农林大学,15,10,5,0,150,100,750,0.15,0.25,0.6,标准,,2026,浙江农林大学2026年“三位一体”综合评价招生章程,https://zs.zafu.edu.cn/info/1020/5002.htm
浙江中医药大学,10,7,4,0,100,100,750,0.15,0.25,0.6,标准,,2026,浙江中医药大学2026年三位一体综合评价招生章程,https://zsb.zcmu.edu.cn/info/1075/4871.htm
中国计量大学,10,9,8,7,100,100,750,0.15,0.25,0.6,标准,学考按满分100分折算，且D计7分（非标准150分且D=0）。,2026,中国计量大学2026年“三位一体”综合评价招生章程,https://zs.cjlu.edu.cn/info/1037/8403.htm
浙江万里学院,12,9,6,4,100,100,750,0.15,0.25,0.6,标准,,2026,浙江万里学院2026年三位一体综合评价招生章程,https://zsw.zwu.edu.cn/_t296/4e/ed/c4804a216813/page.htm
浙江科技大学,15,10,5,0,150,100,750,0.2,0.2,0.6,标准,,2026,浙江科技大学2026年三位一体综合评价招生章程,https://zsb.zust.edu.cn/wzxq/17fb059cbe524fdab969f9c168a7806a
浙江财经大学,15,9,3,0,150,100,750,0.2,0.2,0.6,标准,综合成绩按学考20%+校测20%+高考60%计算（非标准15/25/60）。,2026,浙江财经大学2026年“三位一体”综合评价招生章程,https://zs.zufe.edu.cn/info/1075/4688.htm
嘉兴大学,10,7,4,0,100,100,750,0.15,0.25,0.6,标准,,2026,嘉兴大学2026年三位一体综合评价招生章程,https://zsb.zjxu.edu.cn/info/10443/86745.htm
浙大城市学院,10,8,6,0,100,100,750,0.2,0.2,0.6,标准,,2026,浙大城市学院2026年三位一体综合评价招生章程,https://zs.hzcu.edu.cn/guide/show-898.html
浙大宁波理工学院,10,8,5,0,100,100,750,0.2,0.2,0.6,标准,,2026,浙大宁波理工学院2026年三位一体综合评价招生章程,https://zsw.nbt.edu.cn/info/1033/3492.htm
杭州师范大学,10,7,4,1,100,100,750,0.1,0.3,0.6,标准,综合成绩按学考10%+校测30%+高考60%计算（非标准15/25/60）。,2026,杭州师范大学2026年“三位一体”综合评价招生章程,https://undergrad.hznu.edu.cn/Details/20260305/410257202603050257729421.html
湖州师范大学,10,6,2,0,100,100,750,0.2,0.2,0.6,标准,,2026,湖州师范大学2026年三位一体综合评价招生章程,https://zsw.zjhu.edu.cn/2026/0306/c3200a247479/page.htm
绍兴大学,10,8,6,4,100,100,750,0.2,0.2,0.6,标准,,2026,绍兴大学2026年三位一体综合评价招生章程,https://zs.usx.edu.cn/info/1010/7025.htm
温州大学,15,10,5,0,150,100,750,0.15,0.25,0.6,标准,,2026,温州大学2026年“三位一体”综合评价招生章程,https://zs.wzu.edu.cn/info/1247/10044.htm
浙江外国语学院,15,9,3,0,150,100,750,0.1,0.3,0.6,标准,,2026,浙江外国语学院2026年三位一体综合评价招生章程,https://swyt.zisu.edu.cn/Default/NewsShow?newsId=142
浙江水利水电学院,10,7,4,0,100,100,750,0.15,0.25,0.6,标准,,2026,浙江水利水电学院2026年三位一体综合评价招生章程,https://zhaosheng.zuwe.edu.cn/newstudent/view/aid/1210/tag/zsjz
浙江警察学院,10,8,5,2,100,300,750,0.1,0.15,0.75,标准,,2026,浙江警察学院2026年三位一体综合评价招生章程,https://www.zjjcxy.cn/zsxxw/xwgg/271286.html
杭州医学院,10,9,7,4,100,100,750,0.2,0.2,0.6,标准,,2026,杭州医学院2026年三位一体综合评价招生章程,https://swyt.hmc.edu.cn/st/zs_news.jsp?neId=151
丽水学院,10,7,4,1,100,100,750,0.2,0.2,0.6,标准,,2026,丽水学院2026年三位一体综合评价招生章程,https://zsw.lsu.edu.cn/2026/0305/c617a363505/page.htm
嘉兴南湖学院,10,7,3,0,100,100,750,0.1,0.3,0.6,标准,,2026,嘉兴南湖学院2026年三位一体综合评价招生章程,https://zsb.jxnhu.edu.cn/info/1012/4337.htm
温州肯恩大学,15,10,5,0,150,100,750,0.1,0.3,0.6,标准,综合成绩按学考10%+校测30%+高考60%计算（非标准15/25/60）。,2026,温州肯恩大学2026年“三位一体”综合评价招生章程,https://admission.wku.edu.cn/zh-hans/node/3271
宁波诺丁汉大学,10,7,4,0,100,100,750,0.1,0.3,0.6,标准,,2026,宁波诺丁汉大学2026年三位一体综合评价招生章程,https://www.nottingham.edu.cn/cn/study-with-us/undergraduate/policy-and-requirements/tust.aspx
浙江越秀外国语学院,10,8,6,4,100,100,750,0.15,0.15,0.7,标准,,2026,浙江越秀外国语学院2026年三位一体综合评价招生章程,https://zs.zyufl.edu.cn
宁波财经学院,15,9,6,4,100,100,750,0.1,0.3,0.6,标准,,2026,宁波财经学院2026年三位一体综合评价招生章程,https://zsb.nbufe.edu.cn/st/zs_news.jsp?neId=155
温州商学院,12,10,9,8,100,100,750,0.15,0.25,0.6,标准,,2026,温州商学院2026年三位一体综合评价招生章程,https://www.wzbc.edu.cn/Art/Art_46/Art_46_135842.aspx
复旦大学,5,4.5,4,3,50,100,750,0.05,0.1,0.85,标准,综合成绩=高考成绩÷750×850+面试成绩(满分100)+学考折算成绩(满分50)；即高考85%+面试10%+学考5%。学考10门按A=5/B=4.5/C=4/D=3折算，满分50,2026,复旦大学2026年浙江省综合评价录取改革试点暨三位一体综合评价招生简章,https://www.ao.fudan.edu.cn/e5/4c/c36330a779596/page.htm
上海交通大学,3,2.7,2.4,1.8,30,120,750,0.03,0.12,0.85,标准,综合成绩(满分1000)=高考投档成绩折算(满分850)+学考折算(满分30)+面试折算(满分120)。学考10门按100/90/80/60折算后取平均×0.3，折算为本表A=3/B=2.7/C=2.4/D=1.8(满分30)。笔试仅作入围面试依据，不计入综合成绩,2026,上海交通大学2026年在浙江省综合评价录取改革试点暨三位一体综合评价招生简章,https://admissions.sjtu.edu.cn/newDetails?contentsID=3810000004258
浙江大学,10,9,8,6,100,100,750,0.05,0.1,0.85,标准,综合成绩按高考85%+面试10%+学考5%折算（非标准15/25/60），学考满分100且D计6分。,2026,浙江大学2026年浙江省“三位一体”综合评价招生简章,https://zdzsc.zju.edu.cn/2026/0511/c87333a3161363/page.htm
中国科学院大学,0,0,0,0,0,750,750,0.1,0.3,0.6,特殊,综合评价成绩=高考成绩(含加分)×60%+综合素质测试成绩(折算满分750)×30%+学考成绩(折算满分750)×10%；学考与校测均折算至750分制，无固定A/B/C/D分值表,2026,中国科学院大学2026年浙江省三位一体综合评价招生简章,https://admission.ucas.ac.cn/ShowArticle/Article/dc7dc7f7-1b95-4d46-80e9-b6b29c4278a2/c4d614c6-6ad0-4d04-b154-a43a1c1d7366
西湖大学,0,0,0,0,100,100,750,0.1,0.3,0.6,特殊,综合总分=(高考总分÷750×100)×60%+学校综合测试成绩(满分100)×30%+高中学业水平考试成绩(满分100)×10%；学考按满分100折算，无固定A/B/C/D分值表,2026,西湖大学2026年浙江省三位一体综合评价招生简章,https://zh-ugadmissions.westlake.edu.cn/Admissions/ComprehensiveEvaluation/202604/t20260427_66215.shtml
