院校,年份,报名人数,入围人数,录取人数,最低综合分(原始),最低综合分(百分制),学考门槛
浙江工业大学,2025,11000,3000,500,80,80,学考≥6A或折算分≥90分
浙江师范大学,2025,10000,2800,400,76,76,学考≥5A
宁波大学,2025,9500,2500,380,75,75,学考≥5A
杭州电子科技大学,2025,12000,3200,450,78,78,学考≥6A或折算分≥90分
浙江工商大学,2025,8000,2000,280,73,73,学考≥5A2B
浙江理工大学,2025,7500,2000,300,74,74,学考≥5A
温州医科大学,2025,9000,2500,350,82,82,学考≥6A，医学类≥7A
浙江海洋大学,2025,5000,1300,200,68,68,学考≥4A
浙江农林大学,2025,4500,1200,200,67,67,学考≥3A
浙江中医药大学,2026,3992,906,180,76.485,76.5,各组学考折算门槛(满分100)：中医学类≥82/临床医学类≥79/中药学类≥70/护理学类≥61/管理学类≥67
中国计量大学,2025,6000,1600,250,71,71,学考≥5A
浙江万里学院,2026,10847,2090,350,,,各专业学考折算门槛60-70分(英语科目A计15分)；A=12/B=9/C=6/D=4
浙江科技大学,2026,,,240,74.91,74.9,学考A+B不少于6门，各科目均D及以上；高考总分≥特控线90%
浙江科技大学,2025,,,240,72.29,72.3,
浙江财经大学,2025,8500,2200,300,72,72,学考≥5A2B
嘉兴大学,2026,,,170,73.02,73,学考≥3A 或 A+B≥5；高考总分不低于一段线20分
浙大城市学院,2026,,792,200,75.888,75.9,学考折算≥60分(语数外A计15分)；高考总分须达一段线
浙大城市学院,2025,,,160,74.016,74,
浙大宁波理工学院,2026,,371,70,75.6,75.6,学考折算≥60分；高考总分须达一段线；中外合作专业外语单科≥100分
杭州师范大学,2025,8500,2200,350,74,74,学考≥5A
湖州师范大学,2025,,1288,220,67.94,67.9,2025年：师范组A+B≥7且A≥1；非师范组A+B≥5、其余D及以上
绍兴大学,2025,1978,820,135,72.16,72.2,2025年：学考3A或A+B≥5、其余D及以上
绍兴大学,2026,7448,1043,,,,"2026年：学考各科目合格、学考折算≥60分(A=10,B=8,C=6,D=4)"
温州大学,2025,7000,1800,300,70,70,学考≥4A
浙江外国语学院,2025,6049,654,115,,,"学考至少1门A等或6个B等及以上(A=15,B=9,C=3,D=0,满分150)"
浙江外国语学院,2026,,691,,,,学考至少1门A等或6个B等及以上
浙江水利水电学院,2025,,453,100,,,学考各科目合格；普通类书面评审线66分(约8B2C)
浙江警察学院,2025,,,950,,,学考无不合格科目、综合素质评价不低于B等；学考折算A=10/B=8/C=5/D=2；录取按综合分(高考×75%+学考×10%+体能×15%)，分市分性别划线
杭州医学院,2025,956,120,17,74.2,74.2,"学考各科目D等及以上；临床医学折算≥90(或≥85+专项)，医学信息工程≥85(或≥80+专项)；A=10,B=9,C=7,D=4"
丽水学院,2026,,,,,,学考折算≥67分(10门：A=10/B=7/C=4/D=1)且综合素质评价均不低于B等
嘉兴南湖学院,2026,4294,683,,,,学考折算≥68分(A=10/B=7/C=3/D=0)；2026初审最后一名为3A5B1C1D=68分
嘉兴南湖学院,2025,,,60,68.98,69,
温州肯恩大学,2025,4000,1000,150,65,65,学考≥3A
宁波诺丁汉大学,2026,,1016,,,,学考折算≥79分(A=10/B=7/C=4/D=0，共10科)；2026初审最低79分，1768人通过初审
浙江越秀外国语学院,2026,2236,840,120,66.822,66.8,外语B等及以上、其余科目D等及以上；学考折算A=10/B=8/C=6/D=4
宁波财经学院,2025,,,200,72,72,
宁波财经学院,2026,,,,,,学考均合格且达到专业相应最低要求(折算≥60分)；A=15/B=9/C=6/D=4
温州商学院,2026,,1494,,,,学考各科均须合格；其他科目A=12/B=10/C=9/D=8，外语A=15/B=12/C=10/D=8
复旦大学,2025,,,,,,10门学考均须合格；高考成绩须达浙江省特殊类型招生控制线
上海交通大学,2025,,,,,,10门学考均须合格；高考投档成绩不低于浙江省特殊类型招生控制线
浙江大学,2025,18000,4800,980,86,86,各科目均须合格
浙江大学,2024,16500,4500,950,85,85,各科目均须合格
中国科学院大学,2025,,,,,,所有专业选考须物理+化学必考；学考各科合格；须获综合素质测试入围资格
西湖大学,2025,,,15,,,学考各科均须合格，综合素质评价均B等(含)以上；选考须含物理+化学；高考总分须达浙江省特殊类型招生控制线
宁波东方理工大学,2026,,,,,,学考各科均合格，综合素质评价B等及以上；选考须含物理+化学；高考总分须达浙江省特殊类型招生控制线(首次招生)
上海纽约大学,2025,,,9,602,80.3,浙江2025年综合评价录取9人，高考分数区间602–653(纯高考分)。招生计划不分省；须达浙江省特殊类型招生控制线
昆山杜克大学,2025,,,23,610,81.3,浙江2025年综合评价录取23人，高考分数区间610–661(纯高考分)。全国不分省计划；入围考生高考须达浙江省特殊类型招生控制线
北京外国语大学,2025,,,28,643.62,85.8,浙江2025年综合评价录取28人；最低分643.62为综合评价成绩(=高考实考分×70%+能力测试×30%)，非纯高考分。高考实考分须达浙江省特殊类型招生控制线
上海科技大学,2025,,,28,648,86.4,浙江2025年综合评价录取28人，高考分数区间648–673(纯高考分)。所有省份均无单独浙江计划
南方科技大学,2025,,,60,639,85.2,2025年浙江综合评价录取60人，高考成绩区间约639–670(纯高考分)；平行志愿投档线660分
华南理工大学,2025,,,36,641,85.5,2025年浙江综合评价录取36人，高考分数区间641–659(来源网络，仅供参考)。高考投档成绩须达浙江省特殊类型招生控制线
香港中文大学（深圳）,2025,,,260,614,81.9,2025年浙江综合评价录取260人，高考分数区间614–664。10门学考均须合格，综合素质评价须达B等及以上；高考成绩须达浙江省特殊类型招生控制线
深圳北理莫斯科大学,2025,,,19,595,79.3,2025年浙江综合评价录取19人，最低高考分595(综评录取区间595–604，纯高考分)。10门学考均须合格，综合素质评价须达B等及以上；高考成绩须达特殊类型招生控制线
