院校,简称,类型,类别,2026是否招生,主校区,学费(普通),学费(中外合作),招生电话,官网,综合满意度,环境满意度,生活满意度,满意度来源,转专业限制,住宿评分,住宿说明,最低综合分(原始),最低综合分(百分制),数据年份,招生简章链接
浙江工业大学,浙工大,省属,省内地方属三位一体,是,朝晖校区,5300-6000元/年,,0571-88320032,https://www.zjut.edu.cn,4.7,4.6,4.6,阳光高考网,受限：三一录取学生转专业有限制，需满足学分和成绩要求。,4.2,朝晖(老校区部分无独卫)、屏峰(四人间上床下桌独卫为主)、莫干山(全四人间独卫干湿分离+电梯+空调租赁)三校区，住宿费≤1600元/年。,80,80,2025,https://zs.zjut.edu.cn/html/n2546.html
浙江师范大学,浙师大,省属,省内地方属三位一体,是,金华校区,4800-5500元/年,,0579-82282245,https://www.zjnu.edu.cn,4.5,4.7,4.5,阳光高考网,受限：师范类与非师范类之间转专业有一定限制。,4.2,杭州校区(初阳/杏园/桂苑/桃源/新桃源/启明等公寓)四至六人间，多数为上床下桌+独卫+阳台；金华校区类似，部分六人间为上下铺无上床下桌。,76,76,2025,https://zs.zjnu.edu.cn/2026/0306/c6886a547727/page.htm
宁波大学,宁大,省属,省内地方属三位一体,是,本部校区,4800-6000元/年,,0574-87600233,https://www.nbu.edu.cn,4.3,4.5,4.1,阳光高考网,受限：部分热门专业限制转入名额。,4.3,北区学生二村(1/2/7/8/9/10号楼独卫，3/4/5/6号楼公共卫浴)四人间上床下桌；本部/南门/甬江/西区/梅山多为四人间上床下桌独卫空调，多数不断电不断网。住宿费700-1200元。,75,75,2025,https://zsb.nbu.edu.cn/info/1016/3796.htm
杭州电子科技大学,杭电,省属,省内地方属三位一体,是,下沙校区,5300-6000元/年,25000-35000元/年（中外合作）,0571-86915007,https://www.hdu.edu.cn,4.5,4.7,4.5,阳光高考网,可按学校规定申请转专业。,4,下沙校区27幢公寓，四至五人间，独立卫生间，四人间上铺下桌、五人间三上床一上下床；空调热水器可自选租赁；热水6:00-8:00/16:30-24:00。校区在城郊。,78,78,2025,https://zhaosheng.hdu.edu.cn/art.php?aid=2427
浙江工商大学,浙工商,省属,省内地方属三位一体,是,下沙校区,4800-5520元/年,,0571-28877228,https://www.zjgsu.edu.cn,4.4,4.6,4.3,阳光高考网,受限：部分热门专业限制转入名额，需满足成绩要求。,4.1,下沙校区金沙港/钱江湾生活区，标准四人间独卫+空调+开放式阳台(1600元/生·年)；部分楼栋为五人寝上下铺；教工路校区较简朴。热水限时供应。,73,73,2025,https://zhaoban.zjgsu.edu.cn/?news/266.html
浙江理工大学,浙理工,省属,省内地方属三位一体,是,下沙校区,5300-6000元/年,,0571-86843333,https://www.zstu.edu.cn,4.5,4.3,4.3,阳光高考网,受限：转专业需满足学分要求，部分专业有名额限制。,4,下沙校区(生活一/二/三区)4-6人间，两校区寝室均独立卫浴；临平校区全四人间上床下桌独卫干湿分离+电梯+空调租赁。热水限时，23:00熄灯0:00断网。,74,74,2025,https://zs.zstu.edu.cn//info/1033/4033.htm
温州医科大学,温医大,省属,省内地方属三位一体,是,茶山校区,6000-6900元/年,,0577-86689885,https://www.wmu.edu.cn,4.3,4.5,3.9,阳光高考网,受限：医学类专业转专业限制严格，一般限在医学类内调整。,3.8,茶山校区宿舍大部分六人间上下铺无上床下桌(20/21号楼为四人间)，均有独立卫浴+阳台；每舍书架长桌六椅，空调开学后租赁。生活满意度在三校中医科类偏低(3.9)。,82,82,2025,https://zhaosheng.wmu.edu.cn/info/1172/17152.htm
浙江海洋大学,浙海大,省属,省内地方属三位一体,是,长峙校区,4800-5500元/年,,0580-2550022,https://www.zjou.edu.cn,4,4.3,3.6,阳光高考网,受限：部分涉海专业转专业有一定限制。,3.9,"定海校区6/4人间、新城校区4人间为主(部分独卫),空调租赁;舟山气候潮湿、部分楼体老旧、工作日熄灯断电。",68,68,2025,https://zs.zjou.edu.cn/info/1050/6890.htm
浙江农林大学,浙农林,省属,省内地方属三位一体,是,东湖校区,4800-5500元/年,,0571-63730908,https://www.zafu.edu.cn,4.4,4.8,4.3,阳光高考网,受限：转专业需满足学校相关规定。,4.1,"东湖校区A/B/C/D区(6/4人间为主,部分上床下桌)、衣锦校区联建/校内公寓(4人间),空调租赁、独立卫浴,热水限时。",67,67,2025,https://zs.zafu.edu.cn/info/1020/5002.htm
浙江中医药大学,浙中医大,省属,省内地方属三位一体,是,滨文校区,5300-6900元/年,,0571-86613520,https://zsb.zcmu.edu.cn,3.8,3.9,3.8,阳光高考网,按学校相关文件执行（章程第二十一条）,,"两校区4-6人间,均配独立卫生间、热水系统,空调可申装;滨江校区较旧、富春校区较好,夜间按时熄灯。",76.485,76.5,2026,https://zsb.zcmu.edu.cn/info/1075/4871.htm
中国计量大学,中量大,省属,省内地方属三位一体,是,下沙校区,4800-5500元/年,,0571-86836066,https://www.cjlu.edu.cn,4.4,4.5,4.3,阳光高考网,受限：转专业需满足成绩要求，部分专业有名额限制。,3.9,"本科四/五人间,独立卫浴、上床下桌、空调热水器,每层自习室;五人寝部分无电梯、床位临厕所有异味,23点熄灯不断电。",71,71,2025,https://zs.cjlu.edu.cn/info/1037/8403.htm
浙江万里学院,万里学院,省属,省内地方属三位一体,是,钱湖校区,32000-33000元/年,58000-65000元/年(中外合作办学),0574-88222065,https://zsw.zwu.edu.cn,4.3,4.5,3.8,阳光高考网,受限：视觉传达设计、广告学、艺术与科技(均中外合作办学)不能转专业；其余按《浙江万里学院本科学生转专业管理办法》执行,,"公寓按4人间标准设置,配卫生间、家具、电话宽带;空调热水网络全覆盖;查寝较严、22:30熄顶灯不断电、门禁23:00。",,,2026,https://zsw.zwu.edu.cn/_t296/4e/ed/c4804a216813/page.htm
浙江科技大学,浙科大,省属,省内地方属三位一体,是,小和山校区,4800-6300元/年,经济学(中美合作办学)28800元/年,0571-85070165,https://zsb.zust.edu.cn,4.3,4.7,4.3,阳光高考网,按学校相关规定执行（章程第二十六条）,,"小和山校区多4人间(少5人间)、安吉校区书院制4人寝(独卫干湿分离、朝阳、洗衣机),空调租赁;公共卫浴高峰期拥挤、部分老旧。",74.91,74.9,2026,https://zsb.zust.edu.cn/wzxq/17fb059cbe524fdab969f9c168a7806a
浙江财经大学,浙财,省属,省内地方属三位一体,是,下沙校区,4800-5500元/年,,0571-87557480,https://www.zufe.edu.cn,4.3,4.3,3.9,阳光高考网,可按规定申请转专业。,4,"下沙桃李苑/成蹊苑/生活区组团4人间为主,独立卫浴、可装空调洗衣机,热水限时,23点熄灯不断电,宿舍外包管理。",72,72,2025,https://zs.zufe.edu.cn/info/1075/4688.htm
